PC1,PC2,PC3
49993.375501043076,-1444.7050131477197,33.22690860096653
61322.937435305445,-2064.192720588453,8.744913175735299
-42995.5878865055,-2280.715908449502,-16.87167238251847
58345.38761883692,665.6892431972615,-33.30144056130345
1863.9326900162996,569.1455490909466,-20.054534814086615
-28539.803980279758,309.54990213269275,1.002463963955421
-2426.1032917025877,-1296.9001327649632,29.028716173266027
65291.51006530161,-596.6674941045435,-7.76492301269343
1929.0793988252553,506.1122386449174,-16.397453787918913
-19374.216297124178,47.79635875410713,-9.652974972733197
20233.514109757583,2443.6895927157348,59.12287217801104
-30895.44835880943,-1734.4417407805258,-3.5279977790779924
-52248.30034294401,1082.8418762226565,20.977760969837767
-45358.16690793523,-377.9058453286466,-45.4136300217993
-45466.410879729214,-258.4996515695275,18.348323542086355
-42363.03930828864,1181.2633900504266,-55.42731733655141
-44063.02819317991,1058.1011744121965,17.533473550088694
21205.143480470797,2459.638619652069,46.294338709332656
-38470.01658398286,-1764.1654060005671,-5.322402315266274
-17177.868409962095,-1914.6130336640222,-39.41314679067581
54472.05891697909,1081.9873642440293,-55.752722541723884
-496.366652533703,429.1475209839391,-24.394250586895076
24669.017683040685,-1123.4930407205627,-42.49987941999625
-39713.17785905956,-2006.9379055063234,-52.321122242772624
-37117.14895175718,-1979.240243343951,35.71575384172416
-56796.24536320024,2082.2842767255315,-10.550828149917542
-40152.43127734792,-1445.1910785091482,-34.92605357161627
-25896.35975709895,-808.4389932174151,55.453160640156135
-39102.3938425219,-1272.982329751985,-18.107535247576187
-50581.53415389986,-616.7458940399522,58.77850009172182
-46432.16286521222,-2047.4867536300387,4.569213138637572
-2210.541863034363,135.45994378398018,22.730777631279558
-35291.461673502294,-2071.83390342386,6.238826798892113
-14754.765767721285,1556.4103722509235,38.620413903409734
3330.5016269253683,-1295.9681913802635,52.25297618303572
27639.65770976244,199.04262688842482,-35.127853739683175
-56998.68299424723,2012.213390101475,53.05021536797988
41812.42776196268,732.812120649482,-23.20164500144972
19515.33999265608,175.01689375544993,-23.991319676469615
-51484.39955067793,-768.5768267787801,-12.668322610392408
51452.11075004024,-866.5738638531782,6.427104129516799
57602.597414347605,804.03706932355,-31.644379998888212
-54168.3466288169,2577.398459337447,-12.156253331343962
-26116.692549382737,880.7882309604042,18.15450838412645
42694.60511553161,267.09870245976253,12.368697558892514
35163.39075943678,1140.0268017987055,13.323746504254622
-38124.3904407693,-83.94646702789396,10.69201556444451
-34899.4889362576,-2109.627967469225,1.9265257929170048
-13950.107880297146,367.35328995708915,-7.4667336395963915
879.1992682376876,2319.69709412242,-18.069054836675996
18258.9587955615,-1607.9666239417522,-33.559724914623246
